name,number_of_games,value
Cuello,26,4
Hulk,32,4
Jô,28,3
Rodriguinho,29,3
Christian,30,3
Yago Pikachu,30,3
Renato Augusto,18,2
Natanael,19,2
Rossi,20,2
Bruno Henrique,22,2
Nikão,23,2
Marinho,24,2
Cléber,25,2
Gabriel Sara,26,2
Madson,28,2
