name,number_of_games,value
Zárate,13,1
Róger Guedes,16,1
Vitor Bueno,16,1
Lucca,20,1
Sander,22,1
Busanello,26,1
Terans,26,1
Vanderson,28,1
Guilherme Castilho,29,1
Lima,29,1
Gustavo Scarpa,31,1
Hulk,32,1
