name,number_of_games,value
Bruno Henrique,22,9
Edenílson,29,9
Hulk,32,9
Ytalo,26,8
Gilberto,31,8
Robson,31,8
Matheus Peixoto,12,7
Yuri Alberto,30,7
Gabriel,16,6
Elton,27,6
Yago Pikachu,30,6
Ricardo Bueno,16,5
Breno Lopes,22,5
Terans,26,5
Jô,28,5
