name,number_of_games,value
Jadsom Silva,22,8
João Lucas,31,8
Rossi,20,7
Felipe,26,7
Reinaldo,26,7
Vitor Mendes,30,7
Willian Maranhão,30,7
Paulinho Moccelin,31,7
Zé Roberto,32,7
Igor Vinícius,17,6
Anselmo Ramon,24,6
Marinho,24,6
Marlon,25,6
Patrick de Paula,26,6
Rodrigo Dourado,26,6
