name,number_of_games,value
Ytalo,26,6
Yuri Alberto,30,5
Hulk,32,5
Gabriel,16,4
Savarino,16,4
Bruno Henrique,22,4
Pedro,22,4
Terans,26,4
Jenison,27,4
David,28,4
Yago Pikachu,30,4
Robson,31,4
Marcos Guilherme,32,4
Rodrigo Muniz,9,3
Willian,20,3
