name,number_of_games,value
Internacional,34,8
Cuiabá,34,5
Chapecoense,34,4
Palmeiras,35,4
Athletico-PR,33,3
São Paulo,33,3
Fortaleza,34,3
Juventude,34,3
Sport,34,3
Atlético-GO,34,2
Atlético-MG,34,2
Corinthians,34,2
Grêmio,34,2
América-MG,34,1
Bragantino,34,1
