name,number_of_games,value
São Paulo,33,430
Internacional,34,410
Ceará,34,362
Sport,34,360
Atlético-MG,34,351
Juventude,34,351
Cuiabá,34,350
Bahia,33,349
Chapecoense,34,343
Fortaleza,34,342
Bragantino,34,340
Grêmio,34,339
Athletico-PR,33,336
América-MG,34,336
Santos,34,336
