name,number_of_games,value
Juventude,34,379
Fortaleza,34,366
Bragantino,34,363
São Paulo,33,360
Santos,34,349
Atlético-GO,34,348
Sport,34,346
Cuiabá,34,342
Corinthians,34,340
Internacional,34,338
Ceará,34,333
América-MG,34,323
Fluminense,34,322
Palmeiras,35,317
Atlético-MG,34,310
