name,number_of_games,value
São Paulo,33,62
Internacional,34,59
Juventude,34,56
Sport,34,56
Bahia,33,55
Atlético-GO,34,55
Santos,34,53
Fortaleza,34,52
Grêmio,34,51
Bragantino,34,50
Ceará,34,50
Cuiabá,34,49
Athletico-PR,33,46
Atlético-MG,34,45
Chapecoense,34,43
