name,number_of_games,value
São Paulo,33,60
América-MG,34,52
Palmeiras,35,52
Fortaleza,34,48
Chapecoense,34,36
Atlético-MG,34,35
Santos,34,34
Cuiabá,34,33
Juventude,34,32
Atlético-GO,34,31
Fluminense,34,31
Sport,34,31
Flamengo,34,27
Bahia,33,26
Bragantino,34,25
