name,number_of_games,value
Flamengo,34,25
Atlético-MG,34,21
Fortaleza,34,18
Athletico-PR,33,17
Palmeiras,35,17
Corinthians,34,15
Internacional,34,14
Bragantino,34,13
Fluminense,34,13
Santos,34,12
América-MG,34,11
Bahia,33,10
Atlético-GO,34,10
Ceará,34,10
Cuiabá,34,10
