name,number_of_games,value
Fortaleza,34,150
Santos,34,145
Palmeiras,35,143
Atlético-MG,34,139
Bragantino,34,135
América-MG,34,133
Ceará,34,130
Grêmio,34,130
Athletico-PR,33,123
Juventude,34,118
Chapecoense,34,117
Sport,34,116
Flamengo,34,115
Internacional,34,111
Bahia,33,110
